,AIRCRAFT,Turbulence_Category
10776,AS 350 B,U
10777,EPI,U
10778,PILATUS,U
10779,MULHI,U
10780,A2LN,U
10781,GASC,U
10782,H255B,U
10783,B55P,U
10784,R2J,U
10785,C850,U
10786,522T,U
10787,FA59,U
10788,DH8 & PC12,U
10789,E75LK,U
10790,EMB75,U
10791,HAUT,U
10792,HB737,U
10793,DA319,U
10794,PC112,U
10795,HN767,U
10796,ALF4,U
10797,CRJ2  B737,U
10798,CJ27,U
10799,A3E19,U
10800,EAGLE II,U
10801,ARROW,U
10802,C698,U
10803,CRJ-900,U
10804,475L,U
10805,2135,U
10806,E55-,U
10807,E650,U
10808,C58B,U
10809,B73.,U
10810,C57X,U
10811,A3O6,U
10812,E1990,U
10813,B75Z,U
10814,C34A,U
10815,EA333,U
10816,GA-8,U
10817,B763 C680,U
10818,B437,U
10819,FE50,U
10820,EC 35,U
10821,C85R,U
10822,NMRS HEAVY,U
10823,AC42,U
10824,GL3T,U
10825,SF450,U
10826,DH2A,U
10827,G15,U
10828,ALL SMALL,U
10829,IL98,U
10830,A30N,U
10831,BLS1,U
10832,E75B,U
10833,BCD1,U
10834,C6BA,U
10835,AF7X,U
10836,C1 72,U
10837,BC1,U
10838,HA34,U
10839,S92G,U
10840,UT31,U
10841,MD112,U
10842,ER75L,U
10843,OVC003,U
10844,BE40  B757,U
10845,B757 & B712,U
10846,B277,U
10847,A3121,U
10848,EXPMNTL,U
10849,A68A,U
10850,DH87D,U
10851,ACFT UNKN,U
10852,C256,U
10853,B175,U
10854,SR50,U
10855,BC81,U
10856,E65S,U
10857,JLJ45,U
10858,C5ME,U
10859,E375L,U
10860,3B738,U
10861,HMD1,U
10862,E355P,U
10863,B744Q,U
10864,EE70,U
10865,E145&BE40,U
10866,E54,U
10867,OVC007,U
10868,F20TH,U
10869,0B738,U
10870,SCT018 TOPS,U
10871,G448,U
10872,DM8,U
10873,C6980,U
10874,A2N,U
10875,MULIT,U
10876,G545,U
10877,MULT TYPE,U
10878,G464,U
10879,C 525,U
10880,B737  BE40,U
10881,D88,U
10882,BB763,U
10883,BN763,U
10884,1738,U
10885,LT7J,U
10886,B45X,U
10887,HDJL,U
10888,C255B,U
10889,Z20N,U
10890,324,U
10891,SWY,U
10892,SE4,U
10893,E290,U
10894,1552,U
10895,K35C,U
10896,H.B767,U
10897,B852,U
10898,A59,U
10899,BN738,U
10900,LJ321,U
10901,LX7,U
10902,CR4J2,U
10903,CRJ2 BASE 0,U
10904,327,U
10905,GLF64,U
10906,A504,U
10907,HA40,U
10908,DBL130025,U
10909,E250P,U
10910,R461,U
10911,GLF5 & C750,U
10912,1750,U
10913,E335L,U
10914,GLFF,U
10915,E7455,U
10916,MUO,U
10917,FS7X,U
10918,CL 60,U
10919,2216,U
10920,E55J,U
10921,H.B763,U
10922,A20H,U
10923,G401,U
10924,SH56,U
10925,AA33,U
10926,ERR75L,U
10927,BEECH 1900,U
10928,A35X,U
10929,EE5P,U
10930,B737 & B787,U
10931,HA35K,U
10932,TOPS080,U
10933,DRM1,U
10934,E745X,U
10935,BO105,U
10936,C881,U
10937,Z332,U
10938,E715L,U
10939,AZ0N,U
10940,BCS2,U
10941,E575S,U
10942,C721,U
10943,GLT7,U
10944,BG738,U
10945,M900,U
10946,TX2,U
10947,AT2,U
10948,LS6X,U
10949,2-A319,U
10950,C2CA,U
10951,FEW030 TOPS,U
10952,BE737,U
10953,C66A,U
10954,B7439,U
10955,NUMEROUR,U
10956,E235,U
10957,BE 95,U
10958,A319+,U
10959,V525,U
10960,R400,U
10961,B7.37,U
10962,E-175,U
10963,B7120,U
10964,GLF66,U
10965,E75;,U
10966,C85B,U
10967,LL75,U
10968,B85,U
10969,B7357,U
10970,TOP120,U
10971,B737+,U
10972,CG9,U
10973,BA350,U
10974,B363,U
10975,BEL,U
10976,AT47,U
10977,R190,U
10978,B77X,U
10979,A1321,U
10980,C560.,U
10981,TOPS 290,U
10982,F2HL,U
10983,N730,U
10984,ALOT,U
10985,B8OT,U
10986,LJ170,U
10987,F,U
10988,A436,U
10989,CD550,U
10990,G405,U
10991,C860,U
10992,OVC 039,U
10993,E1456,U
10994,A1N,U
10995,B76X,U
10996,G289,U
10997,P68N,U
10998,0CRJ9,U
10999,B737 C68,U
11000,EA,U
11001,BASE030,U
11002,25SE,U
11003,HE45,U
11004,CHJ,U
11005,EA450,U
11006,A90,U
11007,B7399,U
11008,A321A,U
11009,BE320,U
11010,B767 DURD FL300 SMOOTH,U
11011,C182Q,U
11012,CR5J9,U
11013,1E75S,U
11014,LJ450,U
11015,PC13,U
11016,A233,U
11017,C3208,U
11018,MOTORGLIDER,U
11019,XL5,U
11020,SPORT CRUIS,U
11021,TOPS 320,U
11022,CGJ7,U
11023,CRUC,U
11024,M14,U
11025,CX402,U
11026,A 320,U
11027,JK45,U
11028,PA-12,U
11029,L1T,U
11030,P286,U
11031,A441,U
11032,BCAT,U
11033,SCUZ,U
11034,V2,U
11035,AREO,U
11036,BJ737,U
11037,C+L60,U
11038,P26A,U
11039,AT63,U
11040,B774W,U
11041,EC-35,U
11042,DA900,U
11043,AYR,U
11044,DHED,U
11045,B89,U
11046,718,U
11047,A3191A,U
11048,B164,U
11049,CHEROKEE,U
11050,GA5L,U
11051,A32L,U
11052,E27L,U
11053,MLJ35,U
11054,E7J5,U
11055,CR75,U
11056,XPT,U
11057,L531,U
11058,P56T,U
11059,GSTR,U
11060,BDC1,U
11061,D-8,U
11062,BE7A,U
11063,RM1,U
11064,0130,U
11065,EQ70,U
11066,SLG,U
11067,RU12,U
11068,P2BR,U
11069,D48B,U
11070,E365L,U
11071,C1742,U
11072,EA5U,U
11073,CITATION 56,U
11074,DAA40,U
11075,BKN 013 TOP,U
11076,D10L,U
11077,FALCON 50,U
11078,S228,U
11079,B77*,U
11080,BE40L,U
11081,NSTR,U
11082,AR65,U
11083,DLL,U
11084,MA11,U
11085,AFA50,U
11086,C46X,U
11087,C72S,U
11088,COZI,U
11089,CUCA,U
11090,VFR,U
11091,C245,U
11092,F25B,U
11093,HQ5B,U
11094,E17L5S,U
11095,1113,U
11096,ASER,U
11097,VAMP,U
11098,A375,U
11099,AASV,U
11100,BKN 055,U
11101,E1670,U
11102,MULTP JETS,U
11103,ALTO,U
11104,B1712,U
11105,F800,U
11106,PA3Q,U
11107,B177,U
11108,KC46,U
11109,CIOT,U
11110,0733,U
11111,B3501,U
11112,Z30,U
11113,CJ4,U
11114,B73W,U
11115,M29T,U
11116,A19N,U
11117,C-207,U
11118,ALL TYPE S,U
11119,ASTER,U
11120,H25J,U
11121,AW119,U
11122,UH1Y,U
11123,NOAA,U
11124,7387,U
11125,CI172,U
11126,MOONEY,U
11127,M5 MAULE,U
11128,A33A,U
11129,M. GLIDER,U
11130,VR7,U
11131,C4D2,U
11132,E785S,U
11133,B863,U
11134,B7XX,U
11135,NMEROUS,U
11136,E5-,U
11137,ATUS,U
11138,A229,U
11139,FLDT,U
11140,HDTH,U
11141,B28S,U
11142,BE390,U
11143,339,U
11144,E45XR,U
11145,PQ32,U
11146,B650,U
11147,GA7C,U
11148,B868,U
11149,BE30  CRJ7,U
11150,C55A,U
11151,C56M,U
11152,P51G,U
11153,XXXX,U
11154,E75L;,U
11155,NIUMEROUS,U
11156,CRJ98,U
11157,BC21,U
11158,B1090,U
11159,FRJ9,U
11160,AMPH,U
11161,246,U
11162,A2ON,U
11163,S2T2T,U
11164,EA10,U
11165,MUKT,U
11166,BLLF,U
11167,1422,U
11168,CL750,U
11169,HS306,U
11170,1610,U
11171,OSCR,U
11172,SE50,U
11173,C636,U
11174,KOOI,U
11175,BCSC,U
11176,C7850,U
11177,C2JC,U
11178,0A2Y,U
11179,C75D,U
11180,C7500,U
11181,DW4,U
11182,C3.9,U
11183,CRJ9CON,U
11184,E42L,U
11185,`C560,U
11186,B003 OVC,U
11187,AZON,U
11188,B737 E75L,U
11189,TOP190,U
11190,P82R,U
11191,FA87,U
11192,HC-144,U
11193,B75N,U
11194,OVC 010,U
11195,BE2016,U
11196,NGT,U
11197,C5B5B,U
11198,BM8,U
11199,C1-72,U
11200,CBJ2,U
11201,PC102,U
11202,CL135,U
11203,TOP155,U
11204,TBM900,U
11205,OPRM1,U
11206,E75RL,U
11207,E177,U
11208,E75L&CRJ2,U
11209,BCF,U
11210,M60D,U
11211,EZ5L,U
11212,KOD1 100,U
11213,DA-40,U
11214,EY5X,U
11215,BK 117,U
11216,CW46,U
11217,BC53,U
11218,LJR5,U
11219,B136,U
11220,BSC3,U
11221,GLEXC,U
11222,G80,U
11223, 600,U
11224,E50L,U
11225,OVC028-TOP0,U
11226,L55B,U
11227,32N,U
11228,PITTS S-2A,U
11229,N20N,U
11230,LJJ40,U
11231,CS5B,U
11232,E71,U
11233,H B788,U
11234,G;F4,U
11235,PA-24,U
11236,V787,U
11237,MO11,U
11238,GAGC,U
11239,C47A,U
11240,NUEM,U
11241,CL310,U
11242,CK3,U
11243,CR72,U
11244,GA6,U
11245,EEP,U
11246,E18,U
11247,1233,U
11248,BCS4,U
11249,75S,U
11250,ERJ175,U
11251,C368A,U
11252,B3500,U
11253,325,U
11254,PH28,U
11255,CURJ7,U
11256,C4254,U
11257,A25N,U
11258,EMR550,U
11259,E75Y,U
11260,NMRS SCFT,U
11261,SLG6,U
11262,K35RL,U
11263,1306,U
11264,E75LP,U
11265,AP22,U
11266,BT39,U
11267,GA46,U
11268,E120  E145,U
11269,ACT,U
11270,T-34,U
11271,MULTL,U
11272,E35T,U
11273,A654,U
11274,CRJ9 & F16,U
11275,25S,U
11276,T18C,U
11277,G510,U
11278,E345X,U
11279,C22,U
11280,CG56,U
11281,LG7T,U
11282,PA35 BUMPY,U
11283,E1020,U
11284,M15,U
11285,C-212,U
11286,C8A,U
11287,C182 SR22,U
11288,H0JT,U
11289,A21A,U
11290,CRJ78,U
11291,212,U
11292,TOP091,U
11293,M20TS,U
11294,VC56,U
11295,AC390,U
11296,CITATION 68,U
11297,JL55,U
11298,OVC035,U
11299,E1757,U
11300,M60,U
11301,CIVIC JET,U
11302,FTH2,U
11303,B757Y,U
11304,EC33,U
11305,PATV,U
11306,E30J,U
11307,EMBREAR145,U
11308,CDRJ9,U
11309,ERJ-175,U
11310,TV20,U
11311,AA-5,U
11312,DC3A,U
11313,A3006,U
11314,C652,U
11315,WF4U,U
11316,AC55,U
11317,MLTPL ACFT,U
11318,A52K,U
11319,0748,U
11320,C1728,U
11321,C1082,U
11322,CCL35,U
11323,DC24,U
11324,C39J,U
11325,B727 NO PRECIP,U
11326,BT35,U
11327,LL35,U
11328,`BE20,U
11329,ASE,U
11330,CEJ90,U
11331,PAY32,U
11332,GLST5,U
11333,TOP370,U
11334,C1825,U
11335,B7639,U
11336,C2J,U
11337,B439,U
11338,HDJA,U
11339,CESSNA 177,U
11340,EC130 HELI,U
11341,FOXT,U
11342,PA30G,U
11343,A125,U
11344,LJ45J,U
11345,NRM,U
11346,CFR7,U
11347,RS18,U
11348,CL415,U
11349,MN11,U
11350,RALLYE,U
11351,A32P,U
11352,M70T,U
11353,CRJ99,U
11354,CRJ9 CRJ7,U
11355,JL70,U
11356,C608A,U
11357,E7FS,U
11358,B39N,U
11359,HA35,U
11360,VELT,U
11361,E192,U
11362,DV1,U
11363,E175C,U
11364,SPC12,U
11365,VULC,U
11366,CTSL,U
11367,C1725,U
11368,238,U
11369,B7488,U
11370,BSCS1,U
11371,-08,U
11372,A321TOP 19,U
11373,DTW035008,U
11374,CESSNA 208,U
11375,AW169,U
11376,AT176,U
11377,PA280,U
11378,JL31,U
11379,E75Q,U
11380,.,U
11381,BE55 BARON,U
11382,39M,U
11383,G12T,U
11384,CF18,U
11385,C868A,U
11386,000,U
11387,FAL7,U
11388,B73U,U
11389,E375R,U
11390,C-414,U
11391,H145,U
11392,H53S,U
11393,H52S,U
11394,E35S,U
11395,S190,U
11396,MD11MOD,U
11397,B38N,U
11398,F2T8,U
11399,T206203,U
11400,A50 HELO,U
11401,CR6X,U
11402,146,U
11403,A359*,U
11404,527,U
11405,C68SA,U
11406,EH50P,U
11407,A159,U
11408,CITABRIA,U
11409,BICF,U
11410,P28A ANS C1,U
11411,TBM*,U
11412,T52,U
11413,PQA34,U
11414,1C501,U
11415,B653,U
11416,B\737,U
11417,EC36,U
11418,PS8A,U
11419,PA311,U
11420,BEGT,U
11421,CL95,U
11422,PRM11,U
11423,B738\,U
11424,B431,U
11425,ES55P,U
11426,E754L,U
11427,MUUT,U
11428,E7TL,U
11429,STOL,U
11430,XC560,U
11431,B7037,U
11432,BD40,U
11433,BALL,U
11434,LJ35L,U
11435,L75L,U
11436,SRS22,U
11437,BU37,U
11438,C568A,U
11439,CRJI9,U
11440,G15T,U
11441,GLFH,U
11442,M80P,U
11443,WAIX,U
11444,Z0N,U
11445,B47-COPTER,U
11446,L600,U
11447,L30J,U
11448,BKN075,U
11449,A29N,U
11450,LJ9,U
11451,216,U
11452,C0L,U
11453,SW47,U
11454,CB73,U
11455,BKN040,U
11456,A139 HELO,U
11457,GLEX9,U
11458,LLJ60,U
11459,EM5,U
11460,B72L,U
11461,MULT ACT,U
11462,CT 155,U
11463,GSLP,U
11464,2009,U
11465,-,U
11466,C753,U
11467,E66P,U
11468,LJ13,U
11469,H B77,U
11470,H MD11,U
11471,E7575L,U
11472,E752S,U
11473,HB73,U
11474,A0N,U
11475,B767L,U
11476,2326,U
11477,A762,U
11478,A32ON,U
11479,H25TS,U
11480,1603,U
11481,SL04,U
11482,E720,U
11483,AUJ4,U
11484,BC3S,U
11485,ALL AIRCRAF,U
11486,C25 A,U
11487,C1430,U
11488,MO02,U
11489,P14,U
11490,A240,U
11491,788E,U
11492,TBM0,U
11493,C256X,U
11494,P22R,U
11495,DHJT,U
11496,B7657,U
11497,LJ74,U
11498,H B748,U
11499,DECA,U
11500,HJDT,U
11501,CRJD,U
11502,9180,U
11503,P028R,U
11504,C522,U
11505,OVC017,U
11506,LJ415,U
11507,CL690,U
11508,B327,U
11509,CL8A,U
11510,B368M,U
11511,BJS1,U
11512,G438,U
11513,CLE5,U
11514,GA5X,U
11515,PA250,U
11516,MAKO,U
11517,SCT047,U
11518,E75L B39,U
11519,SAL4,U
11520,E72,U
11521,BC9L,U
11522,PZ27,U
11523,B7666,U
11524,A223,U
11525,Z70,U
11526,C182T,U
11527,E55IP,U
11528,A20JN,U
11529,DLH5,U
11530,DHL5,U
11531,DDA40,U
11532,DE40,U
11533,B7878,U
11534,GAEXS,U
11535,E739,U
11536,B73B38M,U
11537,BA39,U
11538,CC19 IS AN XCUB SMALL 1 ENGINE PISTON A,U
11539,B 789,U
11540,GSL6,U
11541,COLT5,U
11542,004OVC053,U
11543,B29M,U
11544,S31,U
11545,BCS16,U
11546,R550,U
11547,C56XX,U
11548,N38M,U
11549,CRJ96,U
11550,1352,U
11551,B50T,U
11552,K525,U
11553,920,U
11554,BE340,U
11555,HDTJ,U
11556,V25B,U
11557,CL35R,U
11558,UCT3M,U
11559,6,U
11560,HC20,U
11561,A202,U
11562,SN36,U
11563,SF94,U
11564,PC12R,U
11565,E59,U
11566,B5T38,U
11567,RB8,U
11568,CP10,U
11569,CLG4,U
11570,C RJ9,U
11571,GFF5,U
11572,W175,U
11573,CRJ9E,U
11574,CE30,U
11575,VARIIU,U
11576,B79L,U
11577,RU4,U
11578,026,U
11579,A020N,U
11580,B727 SMOOTH RIDE,U
11581,A35Q,U
11582,TBMA,U
11583,G525,U
11584,C56CX,U
11585,SH38,U
11586,LEG,U
11587,SWA3,U
11588,X177,U
11589,SCT-TOP100,U
11590,HGLF4,U
11591,A3SK,U
11592,C78A,U
11593,A539,U
11594,B 752,U
11595,S306,U
11596,2B772,U
11597,ESCP,U
11598,LCK,U
11599,B728X,U
11600,CRJ7H,U
11601,B7700,U
11602,A060,U
11603,MM16,U
11604,BASE FL200,U
11605,BKN007,U
11606,AR737,U
11607,C58,U
11608,E501P,U
11609,BS712,U
11610,F2000,U
11611,E77P,U
11612,B8M,U
11613,H235B,U
11614,C 425,U
11615,FT2,U
11616,C1820,U
11617,A22N,U
11618,AIR COUP,U
11619,E75L & B777,U
11620,A3216,U
11621,MULTIPLETYP,U
11622,A20A,U
11623,PIPA,U
11624,5E545,U
11625,R210,U
11626,NMS,U
11627,BB752,U
11628,OXI,U
11629,LJ401,U
11630,A212,U
11631,EC455,U
11632,C658A,U
11633,0250,U
11634,BB39,U
11635,M10T,U
11636,LRV35,U
11637,FAZX,U
11638,B7P63,U
11639,LJ275,U
11640,321N,U
11641,PA346,U
11642,B7 52,U
11643,B88M,U
11644,B383M,U
11645,AT70,U
11646,CU2,U
11647,AIRCOOP,U
11648,Q21N,U
11649,T044,U
11650,BE58P,U
11651,SW36,U
11652,EC23,U
11653,A609,U
11654,30J,U
11655,E42,U
11656,T36,U
11657,SCT020,U
11658,B767B,U
11659,PA28S,U
11660,ATR8,U
11661,FAA50,U
11662,BL7L,U
11663,037 OVC UNK,U
11664,S20T,U
11665,C41L,U
11666,H328,U
11667,CE23,U
11668,PA240,U
11669,BR40,U
11670,EA75,U
11671,LJJ60,U
11672,7B38,U
11673,S738,U
11674,A3209,U
11675,SA40,U
11676,FA45,U
11677,TB M8,U
11678,E2120,U
11679,B737A20N,U
11680,G52,U
11681,XRJ9,U
11682,BCB1,U
11683,HDM11,U
11684,AC71,U
11685,B7641,U
11686,PELI,U
11687,GA36,U
11688,AT20,U
11689,GB1,U
11690,P32F,U
11691,DH8D E75L,U
11692,B1737,U
11693,BCSC1,U
11694,MOONEY MO20,U
11695,BCS10,U
11696,B734R,U
11697,KA7X,U
11698,B738C,U
11699,B73B7,U
11700,BASE026-TOP,U
11701,ACL,U
11702,H B777,U
11703,FT25,U
11704,CRHJ9,U
11705,739E,U
11706,B7502,U
11707,BE20BKN040,U
11708,AB738,U
11709,A21M,U
11710,MAX8,U
11711,T120,U
11712,A3.21,U
11713,1707,U
11714,NRS,U
11715,F2TH & CL30,U
11716,GLEXR,U
11717,HGJT,U
11718,A20AN,U
11719,H.A306,U
11720,E756L,U
11721,B1960,U
11722,240TBM8,U
11723,AK35K,U
11724,M38M,U
11725,195,U
11726,SF44,U
11727,CJ510,U
11728,SR8,U
11729,E112,U
11730,LF6,U
11731,B950,U
11732,UNKOVC035,U
11733,A20W,U
11734,SF5,U
11735,337L,U
11736,B34M,U
11737,A214,U
11738,SE3,U
11739,HBYYW,U
11740,A260N,U
11741,SF 50,U
11742,B38L,U
11743,C18S2,U
11744,CLG,U
11745,CLK30,U
11746,C68AS,U
11747,UNKN-TOP335,U
11748,BASES 040,U
11749,MLTPLE,U
11750,D238,U
11751,N5B,U
11752,\F900,U
11753,N25,U
11754,E1575,U
11755,HDJ5,U
11756,K145,U
11757,F32TH,U
11758,GLOBAL EXP,U
11759,G271,U
11760,B73.8,U
11761,A214N,U
11762,HA47,U
11763,A201N,U
11764,A312L,U
11765,GLS5T,U
11766,C89A,U
11767,BL5T,U
11768,CLG60,U
11769,B055 BKN T,U
11770,JGL5T,U
11771,B7693,U
11772,A200M,U
11773,J40,U
11774,E375S,U
11775,B32M,U
11776,CIV,U
11777,UN K,U
11778,T208,U
11779,B39ML,U
11780,NEUM,U
11781,GLEX1,U
11782,BE858,U
11783,BC1S,U
11784,3E5S,U
11785,A195,U
11786,TBM96,U
11787,MS11,U
11788,A384,U
11789,C255,U
11790,FA7W,U
11791,C208 TOP060,U
11792,A39M,U
11793,B748 B77W,U
11794,B789H,U
11795,BE120,U
11796,GL7,U
11797,G21G,U
11798,T-6,U
11799,B 38,U
11800,C750P,U
11801,B73E,U
11802,GTLF5,U
11803,AS350B,U
11804,NRM AC,U
11805,MYLT,U
11806,ZR22,U
11807,C0208,U
11808,G268,U
11809,153,U
11810,A33Z,U
11811,B44W,U
11812,GL8T,U
11813,74,U
11814,C75R,U
11815,669,U
11816,21N,U
11817,BG280,U
11818,A39L,U
11819,SWA4,U
11820,E36L,U
11821,BEG36,U
11822,B-190,U
11823,3545,U
11824,BYYW,U
11825,HA41,U
11826,BUSH,U
11827,ECG,U
11828,BE58 & BE36,U
11829,7B39,U
11830,EA58,U
11831,ED75S,U
11832,BYY2,U
11833,E55C,U
11834,E75SP,U
11835,NE30,U
11836,NCS3,U
11837,BCS3.,U
11838,BC57,U
11839,W55P,U
11840,LJ560,U
11841,DAG2,U
11842,CA321,U
11843,H25R,U
11844,D900,U
11845,E122,U
11846,E133,U
11847,B7354,U
11848,BG77,U
11849,H2TH,U
11850,PP28A,U
11851,HM11,U
11852,CRRJ9,U
11853,HMD111,U
11854,A7898,U
11855,B763HTTPS:,U
11856,R290,U
11857,E1210,U
11858,A20M,U
11859,C5T50,U
11860,A320R,U
11861,T73,U
11862,SF250,U
11863,D744,U
11864,CC56X,U
11865,E7175,U
11866,SR92,U
11867,LGF6,U
11868,AA36,U
11869,CL3E,U
11870,E785L,U
11871,AERO (HELO),U
11872,CL365,U
11873,0C24,U
11874,ODI,U
11875,73T7,U
11876,G6C,U
11877,A535K,U
11878,A06,U
11879,FA7K,U
11880,S359,U
11881,BC5,U
11882,TOP 060,U
11883,A20NN,U
11884,GAC5,U
11885,BCX3,U
11886,A24N,U
11887,6L7T,U
11888,IDK,U
11889,TOP 050,U
11890,C25AA,U
11891,A32000000,U
11892,ER170,U
11893,K25R,U
11894,E70L,U
11895,GL17,U
11896,H23B,U
11897,A321`,U
11898,B1190,U
11899,SB200,U
11900,MD-80,U
11901,C56X0,U
11902,B39W,U
11903,SBP,U
11904,C177A,U
11905,031,U
11906,A80N,U
11907,HR42,U
11908,0B37,U
11909,G;5T,U
11910,E68,U
11911,TOP060,U
11912,PA62,U
11913,017,U
11914,PIRT,U
11915,WIND,U
11916,NUMJEROUS,U
11917,C 135,U
11918,E170C,U
11919,CLEX,U
11920,CS1,U
11921,OY3,U
11922,LJ455,U
11923,LJ1,U
11924,AC40,U
11925,CV68A,U
11926,B20N,U
11927,LJ775,U
11928,X25B,U
11929,E75N,U
11930,P16T,U
11931,ZHT2,U
11932,BLJ1,U
11933,BASES 010,U
11934,ST22,U
11935,E7555555555,U
11936,PC27,U
11937,AS14,U
11938,DHT3,U
11939,LJ490,U
11940,LJ 31,U
11941,FA1,U
11942,B33G,U
11943,C542,U
11944,CSR22,U
11945,LNPE,U
11946,AT37,U
11947,BEBE58,U
11948,S72,U
11949,V788,U
11950,BK12,U
11951,A50P,U
11952,BT10,U
11953,F00,U
11954,B 712,U
11955,DG8A,U
11956, NUMS,U
11957,CK60,U
11958,P20A,U
11959,L575,U
11960,CRGJ,U
11961,BR77L,U
11962,DCG,U
11963,GX8,U
11964,KJZP,U
11965,E752L,U
11966,108,U
11967,BE360,U
11968,Z20,U
11969,HWK,U
11970,E775S,U
11971,GS-2,U
11972,B787X,U
11973,E675,U
11974,YBM9,U
11975,E55P-,U
11976,CR09,U
11977,BE9M,U
11978,CL358,U
11979,TP787,U
11980,LR4,U
11981,B93M,U
11982,G211,U
11983,B016 T060,U
11984,P06J,U
11985,B010 T040,U
11986,20N,U
11987,PAMP,U
11988,VL3,U
11989,A02N,U
11990,B600,U
11991,NB37,U
11992,H.767,U
11993,T24X,U
11994,FXP,U
11995,LEGS,U
11996,CL0,U
11997,TMBM9,U
11998,P78X,U
11999,BE175,U
12000,ZA319,U
12001,LJ6P,U
12002,CM5,U
12003,O68A,U
12004,BS1,U
12005,B6767,U
12006,E17-,U
12007,TBM 7,U
12008,C821,U
12009,BC63,U
12010,PF6T,U
12011,LGEX,U
12012,B772W,U
12013,G321,U
12014,C77W,U
12015,COLT,U
12016,BC15,U
12017,737M,U
12018,BE4W,U
12019,M39M,U
12020,CL309,U
12021,FH2,U
12022,B7753,U
12023,FCL60,U
12024,N753,U
12025,DE20,U
12026,C2068,U
12027,TOP 200,U
12028,B040 T065,U
12029,3331,U
12030,F900R,U
12031,B378M,U
12032,MUTLI AC,U
12033,ND11,U
12034,C558,U
12035,B64,U
12036,DCY,U
12037,M20V,U
12038,L31A,U
12039,MAY,U
12040,MD11B763,U
12041,A341,U
12042,AS625,U
12043,C37,U
12044,A221N,U
12045,CA40,U
12046,TBMB350,U
12047,GS6C,U
12048,B738W,U
12049,H4JT,U
12050,EST,U
12051,B530,U
12052,S92 HELO,U
12053,BC3S3,U
12054,LJ475,U
12055,E5050,U
12056,CCL60,U
12057,CHLG,U
12058,B74383,U
12059,C7000,U
12060,H252,U
12061,CRG8,U
12062,COL35,U
12063,027,U
12064,E757L,U
12065,C53X,U
12066,C225A,U
12067,1615Z,U
12068,A31I9,U
12069,T06,U
12070,RV07,U
12071,PA341,U
12072,C5235,U
12073,LAN1A,U
12074,CG8A,U
12075,E171,U
12076,HNDJ,U
12077,P2AR,U
12078,LFW,U
12079,879,U
12080,PETL,U
12081,BASES 064TO,U
12082,EZ75L,U
12083,B7329,U
12084,B E9L,U
12085,RS21,U
12086,DE50P,U
12087,A332-B38M,U
12088,B7W7W,U
12089,C-510,U
12090,DH8N,U
12091,CL30 A319,U
12092,295,U
12093,A32K,U
12094,STP,U
12095,DA61,U
12096,AC77,U
12097,MULTIPLE GA,U
12098,B58M,U
12099,AT-8,U
12100,A21Z,U
12101,ALW,U
12102,73H,U
12103,AQ306,U
12104,1914,U
12105,O28S,U
12106,EVLO,U
12107,F2TF,U
12108,AC 95,U
12109,GUPPIE,U
12110,F8TH,U
12111,831,U
12112,F182,U
12113,T106,U
12114,R2S1,U
12115,V68A,U
12116,B6763,U
12117,B375L,U
12118,G2870,U
12119,E390,U
12120,A680,U
12121,D441,U
12122,E335,U
12123,04F,U
12124,G28D,U
12125,B350X,U
12126,BLS3,U
12127,PN12,U
12128,P29B,U
12129,CSM,U
12130,EE24,U
12131,GA TWIN,U
12132,COLB,U
12133,PCC12,U
12134,E88P,U
12135,C26A,U
12136,HDKT,U
12137,AON,U
12138,B055,U
12139,F16C,U
12140,CG60,U
12141,[A46,U
12142,C56X33,U
12143,C668A,U
12144,73M,U
12145,GLEY,U
12146,A2460N,U
12147,B7309,U
12148,F2THC,U
12149,C1700,U
12150,TYPE,U
12151,E50E,U
12152,AE170,U
12153,E-Z,U
12154,TOP080,U
12155,FA7X9,U
12156,PC125,U
12157,B78Z,U
12158,BKN025 TOPS,U
12159,772E,U
12160,DALX,U
12161,W75S,U
12162,P206 TWIN T,U
12163,V17,U
12164,172R,U
12165,A730,U
12166,C6A,U
12167,1933,U
12168,C57A,U
12169,BC93,U
12170,A319MB,U
12171,AW1N,U
12172,FE7X,U
12173,A321E,U
12174,C680X,U
12175,CGF4,U
12176,NUMBR,U
12177,CRS2,U
12178,M202,U
12179,P33R,U
12180,QUIK,U
12181,E79,U
12182,AAC5,U
12183,C 402,U
12184,TMPO,U
12185,SF60,U
12186,T28A,U
12187,B38M ,U
12188,CSA,U
12189,[46T,U
12190,G55P,U
12191,SEVE,U
12192,A320J,U
12193,AT5,U
12194,LGF4,U
12195,B4737,U
12196,B7625,U
12197,PA44. C172,U
12198,AROW,U
12199,C5BE,U
12200,E1455,U
12201,QUIC,U
12202,210-280,U
12203,A25K,U
12204,TB8M,U
12205,CL430,U
12206,CREJ2,U
12207,DH4T,U
12208,P763,U
12209,LCN3,U
12210,E75SL,U
12211,B7498,U
12212,SH50,U
12213,C182S,U
12214,X550,U
12215,TPA320,U
12216,HDT,U
12217,A21L,U
12218,C87A,U
12219,OVC 012 TOP,U
12220,730,U
12221,B790,U
12222,FV5SM,U
12223,TOP 170,U
12224,C88,U
12225,RJ12,U
12226,0315,U
12227,DH9C,U
12228,TBM8 A321,U
12229,PC123,U
12230,MULTIO,U
12231,GA7L,U
12232,X60,U
12233,BKX,U
12234,FL7T,U
12235,BYW,U
12236,C711,U
12237,E758S,U
12238,B38MX,U
